run,n,cls,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d47_seed7,47,A,5000,base,0.306700,0.314169,0.682096,0.010774,0.541463,0.447764,,,
d47_seed7,47,A,5000,surgical,0.305568,0.313377,0.658782,0.011245,0.508638,0.480117,0.076958,0.053644,0.023529
d47_seed7,47,A,5000,noise_only,0.307417,0.314924,0.680021,0.010839,0.537991,0.451170,0.028256,0.026181,0.020326
d47_seed7,47,A,7000,base,0.310774,0.319149,0.689226,0.012151,0.549097,0.438752,,,
d47_seed7,47,A,7000,surgical,0.308737,0.317678,0.654595,0.012934,0.500327,0.486739,0.085559,0.050928,0.025132
d47_seed7,47,A,7000,noise_only,0.310510,0.318583,0.687491,0.011709,0.546753,0.441539,0.027237,0.025502,0.015272
d47_seed7,47,A,9000,base,0.315867,0.324129,0.705976,0.012076,0.570223,0.417701,,,
d47_seed7,47,A,9000,surgical,0.314962,0.324355,0.663762,0.013712,0.509169,0.477119,0.093142,0.050928,0.024301
d47_seed7,47,A,9000,noise_only,0.315527,0.323789,0.704316,0.012071,0.568014,0.419916,0.028557,0.026898,0.020769
d47_seed8,47,A,3000,base,0.301947,0.306247,0.683115,0.006161,0.546044,0.447795,,,
d47_seed8,47,A,3000,surgical,0.301494,0.306474,0.660480,0.007129,0.513934,0.478937,0.075826,0.053191,0.011940
d47_seed8,47,A,3000,noise_only,0.302097,0.306662,0.680097,0.006541,0.541621,0.451838,0.029463,0.026445,0.010026
d47_seed8,47,A,5000,base,0.304436,0.308963,0.708465,0.006508,0.580866,0.412626,,,
d47_seed8,47,A,5000,surgical,0.303644,0.308511,0.665346,0.006988,0.519421,0.473590,0.095632,0.052512,0.014201
d47_seed8,47,A,5000,noise_only,0.304550,0.308812,0.705674,0.006130,0.576783,0.417087,0.029199,0.026407,0.018188
d47_seed8,47,A,7000,base,0.308963,0.310774,0.860570,0.002620,0.798231,0.199148,,,
d47_seed8,47,A,7000,surgical,0.304776,0.309416,0.643051,0.006674,0.486570,0.506756,0.230308,0.012789,0.009828
d47_seed8,47,A,7000,noise_only,0.304399,0.306474,0.853026,0.002983,0.788709,0.208308,0.031274,0.023729,0.006077
d47_seed8,47,A,9000,base,0.315414,0.315754,0.950317,0.000496,0.927426,0.072078,,,
d47_seed8,47,A,9000,surgical,0.281575,0.285536,0.586464,0.005514,0.424386,0.570101,0.364871,0.001019,0.006514
d47_seed8,47,A,9000,noise_only,0.261393,0.261845,0.940056,0.000612,0.918837,0.080551,0.026219,0.015957,0.000000
d47_seed9,47,A,3000,base,0.304210,0.312585,0.710842,0.012036,0.584418,0.403546,,,
d47_seed9,47,A,3000,surgical,0.304210,0.312698,0.671344,0.012199,0.527651,0.460150,0.084427,0.044930,0.025469
d47_seed9,47,A,3000,noise_only,0.303757,0.311566,0.708050,0.011216,0.580679,0.408105,0.025389,0.022597,0.022782
d47_seed9,47,A,5000,base,0.310435,0.313264,0.926324,0.004103,0.893156,0.102741,,,
d47_seed9,47,A,5000,surgical,0.304097,0.316433,0.638637,0.017726,0.480729,0.501545,0.291987,0.004301,0.023643
d47_seed9,47,A,5000,noise_only,0.292893,0.295873,0.921533,0.004215,0.889032,0.106753,0.023163,0.018372,0.024269
d47_seed9,47,A,7000,base,0.317112,0.318017,0.970801,0.001326,0.957242,0.041432,,,
d47_seed9,47,A,7000,surgical,0.300249,0.311114,0.621435,0.015526,0.459000,0.525473,0.349479,0.000113,0.029793
d47_seed9,47,A,7000,noise_only,0.285876,0.286895,0.960465,0.001426,0.944642,0.053932,0.021390,0.011053,0.030047
d47_seed9,47,A,9000,base,0.323450,0.323789,0.984156,0.000502,0.976581,0.022917,,,
d47_seed9,47,A,9000,surgical,0.306360,0.315867,0.619624,0.013705,0.451623,0.534671,0.364531,0.000000,0.034151
d47_seed9,47,A,9000,noise_only,0.277803,0.278293,0.972273,0.000679,0.961607,0.037715,0.017730,0.005847,0.033676
d61_seed0,61,B,3000,base,0.309124,0.314768,0.672803,0.008169,0.526403,0.465428,,,
d61_seed0,61,B,3000,surgical,0.309863,0.315574,0.673542,0.008275,0.526967,0.464759,0.039573,0.040312,0.015280
d61_seed0,61,B,3000,noise_only,0.309348,0.315372,0.673430,0.008723,0.527158,0.464120,0.018588,0.019215,0.027660
d61_seed0,61,B,5000,base,0.313491,0.320008,0.685031,0.009493,0.541202,0.449305,,,
d61_seed0,61,B,5000,surgical,0.313894,0.320008,0.687920,0.008911,0.545143,0.445946,0.037557,0.040446,0.033989
d61_seed0,61,B,5000,noise_only,0.313558,0.319918,0.683754,0.009265,0.539298,0.451437,0.017782,0.016505,0.030461
d61_seed0,61,B,7000,base,0.325114,0.330489,0.707941,0.007964,0.567247,0.424788,,,
d61_seed0,61,B,7000,surgical,0.326660,0.332572,0.709823,0.008781,0.569048,0.422171,0.034467,0.036348,0.019493
d61_seed0,61,B,7000,noise_only,0.325473,0.330780,0.708210,0.007869,0.567416,0.424715,0.016259,0.016528,0.010954
d61_seed0,61,B,9000,base,0.347286,0.351451,0.756651,0.006382,0.627174,0.366444,,,
d61_seed0,61,B,9000,surgical,0.347689,0.351787,0.753897,0.006283,0.622721,0.370996,0.033862,0.031107,0.015873
d61_seed0,61,B,9000,noise_only,0.346636,0.350891,0.756741,0.006513,0.627682,0.365806,0.016281,0.016371,0.011697
d61_seed1,61,B,3000,base,0.304488,0.311543,0.657081,0.010143,0.506955,0.482902,,,
d61_seed1,61,B,3000,surgical,0.304421,0.311341,0.659903,0.009949,0.511060,0.478992,0.045149,0.047971,0.017857
d61_seed1,61,B,3000,noise_only,0.304466,0.311453,0.658492,0.010046,0.509000,0.480954,0.019462,0.020873,0.021831
d61_seed1,61,B,5000,base,0.307175,0.314230,0.659231,0.010182,0.508146,0.481672,,,
d61_seed1,61,B,5000,surgical,0.307780,0.315507,0.663128,0.011162,0.513346,0.475493,0.042327,0.046224,0.017460
d61_seed1,61,B,5000,noise_only,0.307310,0.314432,0.659500,0.010281,0.508438,0.481280,0.019439,0.019708,0.019567
d61_seed1,61,B,7000,base,0.312954,0.319067,0.669780,0.008899,0.519362,0.471739,,,
d61_seed1,61,B,7000,surgical,0.313760,0.320008,0.669511,0.009105,0.518406,0.472489,0.037423,0.037154,0.021544
d61_seed1,61,B,7000,noise_only,0.313200,0.319090,0.668772,0.008576,0.517722,0.473702,0.017065,0.016058,0.019553
d61_seed1,61,B,9000,base,0.324375,0.328809,0.695378,0.006563,0.549125,0.444312,,,
d61_seed1,61,B,9000,surgical,0.324577,0.329145,0.692623,0.006764,0.544912,0.448324,0.030099,0.027345,0.015625
d61_seed1,61,B,9000,noise_only,0.324644,0.329101,0.695019,0.006599,0.548415,0.444986,0.013415,0.013057,0.024952
d61_seed2,61,A,3000,base,0.303749,0.307847,0.703104,0.005886,0.573579,0.420535,,,
d61_seed2,61,A,3000,surgical,0.303480,0.307646,0.661449,0.005981,0.513938,0.480081,0.079683,0.038027,0.011804
d61_seed2,61,A,3000,noise_only,0.303839,0.307691,0.703597,0.005533,0.574232,0.420235,0.023493,0.023985,0.010448
