run,n,cls,edit,overall,index,type,err_type_only,err_index_only,err_both
d53_seed1,53,A,crude,0.890441,0.891687,0.890530,0.011373,0.000812,0.987815
d53_seed1,53,A,surgical,0.849947,0.851460,0.849947,0.010083,0.000000,0.989917
d53_seed1,53,A,noise_only,0.853892,0.854011,0.987510,0.000824,0.914161,0.085015
d53_seed2,53,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d53_seed2,53,B,crude,0.981043,0.981043,0.985226,0.000000,0.220657,0.779343
d53_seed2,53,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d53_seed2,53,B,noise_only,0.999585,0.999585,1.000000,0.000000,1.000000,0.000000
d55_seed0,55,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d55_seed0,55,B,crude,0.988678,0.989091,0.988926,0.036496,0.021898,0.941606
d55_seed0,55,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d55_seed0,55,B,noise_only,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d55_seed2,55,B,base,0.997438,0.997438,0.999917,0.000000,0.967742,0.032258
d55_seed2,55,B,crude,0.995207,0.995207,0.998430,0.000000,0.672414,0.327586
d55_seed2,55,B,surgical,0.994793,0.994793,0.997107,0.000000,0.444444,0.555556
d55_seed2,55,B,noise_only,0.987163,0.987163,0.999532,0.000000,0.963547,0.036453
d59_30pct_seed0,59,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d59_30pct_seed0,59,A,crude,0.900675,0.900675,0.900675,0.000000,0.000000,1.000000
d59_30pct_seed0,59,A,surgical,0.894355,0.894355,0.894355,0.000000,0.000000,1.000000
d59_30pct_seed0,59,A,noise_only,0.877334,0.877334,0.987743,0.000000,0.900078,0.099922
d59_30pct_seed1,59,A,base,0.999785,0.999785,1.000000,0.000000,1.000000,0.000000
d59_30pct_seed1,59,A,crude,0.948363,0.948363,0.948578,0.000000,0.004172,0.995828
d59_30pct_seed1,59,A,surgical,0.946783,0.946783,0.946854,0.000000,0.001350,0.998650
d59_30pct_seed1,59,A,noise_only,0.925500,0.925500,0.994159,0.000000,0.920095,0.079905
d59_30pct_seed3,59,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d59_30pct_seed3,59,A,crude,0.892488,0.893134,0.892703,0.006012,0.002004,0.991984
d59_30pct_seed3,59,A,surgical,0.868429,0.869937,0.868429,0.011463,0.000000,0.988537
d59_30pct_seed3,59,A,noise_only,0.805300,0.805444,0.984272,0.000774,0.919087,0.080139
d59_30pct_seed4_resumed,59,A,base,0.995906,0.995906,0.999928,0.000000,0.982456,0.017544
d59_30pct_seed4_resumed,59,A,crude,0.900531,0.900531,0.903189,0.000000,0.026715,0.973285
d59_30pct_seed4_resumed,59,A,surgical,0.901321,0.901321,0.903332,0.000000,0.020378,0.979622
d59_30pct_seed4_resumed,59,A,noise_only,0.875108,0.875108,0.990113,0.000000,0.920832,0.079168
d61_seed0,61,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed0,61,B,crude,0.996977,0.996977,0.997313,0.000000,0.111111,0.888889
d61_seed0,61,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed0,61,B,noise_only,0.999955,0.999955,1.000000,0.000000,0.666667,0.000000
d61_seed1,61,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
